fund_id,month,aum_cr,net_inflow_cr
F001,2022-01,4002.99,145.25
F001,2022-02,4197.09,712.61
F001,2022-03,4297.72,373.99
F001,2022-04,4513.59,506.37
F001,2022-05,4735.52,-22.51
F001,2022-06,4656.9,619.0
F001,2022-07,4529.91,-161.23
F001,2022-08,4613.18,758.03
F001,2022-09,4865.35,607.2
F001,2022-10,4855.86,91.43
F001,2022-11,4862.73,-19.58
F001,2022-12,4943.77,700.23
F001,2023-01,5016.88,403.5
F001,2023-02,5316.69,720.0
F001,2023-03,5605.94,728.61
F001,2023-04,5714.23,188.85
F001,2023-05,5773.17,-83.62
F001,2023-06,5888.07,138.34
F001,2023-07,5905.22,39.45
F001,2023-08,6162.58,-11.66
F001,2023-09,6201.93,158.32
F001,2023-10,6527.5,721.12
F001,2023-11,6808.07,709.67
F001,2023-12,7037.41,639.06
F001,2024-01,6888.85,319.84
F001,2024-02,7093.56,120.55
F001,2024-03,7217.42,375.09
F001,2024-04,7346.42,194.18
F001,2024-05,7487.28,0.93
F001,2024-06,7478.51,247.9
F001,2024-07,7387.45,744.25
F001,2024-08,7449.27,235.14
F001,2024-09,7281.03,-176.17
F001,2024-10,7130.96,361.25
F001,2024-11,7308.3,105.9
F001,2024-12,7741.73,570.74
F001,2025-01,8046.57,498.9
F001,2025-02,8187.22,-158.37
F001,2025-03,8639.23,107.12
F001,2025-04,8836.83,700.28
F001,2025-05,9003.41,440.93
F001,2025-06,9332.34,334.29
F001,2025-07,9092.02,102.95
F001,2025-08,8973.29,764.19
F001,2025-09,8746.44,625.39
F001,2025-10,9171.81,538.54
F001,2025-11,9329.18,-21.71
F001,2025-12,9360.66,499.18
F001,2026-01,9847.04,-101.35
F001,2026-02,10393.52,692.36
F001,2026-03,10748.11,-127.04
F001,2026-04,10622.62,6.74
F001,2026-05,10916.21,-184.41
F001,2026-06,11494.64,6.03
F001,2026-07,11862.98,724.31
F001,2026-08,11512.15,40.39
F002,2022-01,17099.41,784.4
F002,2022-02,18105.5,626.57
F002,2022-03,18168.16,637.79
F002,2022-04,17696.3,-58.33
F002,2022-05,17557.48,468.53
F002,2022-06,18424.38,222.84
F002,2022-07,18817.72,663.74
F002,2022-08,19313.7,4.88
F002,2022-09,20261.64,536.63
F002,2022-10,20150.92,490.28
F002,2022-11,20300.63,213.64
F002,2022-12,20199.7,701.08
F002,2023-01,21078.49,288.22
F002,2023-02,21584.62,426.54
F002,2023-03,21705.32,496.0
F002,2023-04,21931.52,462.96
F002,2023-05,21713.69,437.6
F002,2023-06,21287.56,702.22
F002,2023-07,21584.92,-16.64
F002,2023-08,21573.35,743.5
F002,2023-09,21424.17,480.91
F002,2023-10,22575.84,198.2
F002,2023-11,22988.15,84.7
F002,2023-12,23478.02,-91.51
