distributor_id,distributor_name,city,city_tier,arn_code,total_aum_cr,num_clients,sip_book_cr,active_since,commission_type
DIST001,Distributor DIST001,Chennai,T30,ARN-41604,2631.41,1609,267.53,2011-12-09,Trail
DIST002,Distributor DIST002,Nagpur,B30,ARN-19282,4278.91,182,60.94,2006-09-28,Upfront
DIST003,Distributor DIST003,Mysuru,B30,ARN-81093,1323.82,62,343.57,2010-03-10,Trail
DIST004,Distributor DIST004,Coimbatore,T30,ARN-78352,4184.95,1190,63.23,2009-10-23,Upfront
DIST005,Distributor DIST005,Vadodara,T30,ARN-39638,2112.33,1044,121.5,2007-04-02,Both
DIST006,Distributor DIST006,Chennai,T30,ARN-52930,4126.11,841,177.85,2019-06-08,Upfront
DIST007,Distributor DIST007,Ranchi,T30,ARN-64146,842.08,1799,230.18,2011-09-08,Trail
DIST008,Distributor DIST008,Mumbai,B30,ARN-23545,3539.52,1152,140.25,2019-08-18,Both
DIST009,Distributor DIST009,Nashik,B30,ARN-38720,505.47,1774,84.71,2007-01-11,Trail
DIST010,Distributor DIST010,Patna,B30,ARN-68562,4887.28,375,475.08,2005-01-06,Both
DIST011,Distributor DIST011,Surat,T30,ARN-78238,40.27,473,16.16,2016-05-09,Both
DIST012,Distributor DIST012,Coimbatore,T30,ARN-72299,745.57,912,460.38,2005-02-02,Both
DIST013,Distributor DIST013,Bhubaneswar,B30,ARN-72306,4771.87,1821,494.81,2007-04-05,Upfront
DIST014,Distributor DIST014,Bhopal,B30,ARN-36579,1957.26,879,227.55,2014-08-25,Upfront
DIST015,Distributor DIST015,Chennai,T30,ARN-61315,675.06,1252,190.15,2008-08-14,Upfront
DIST016,Distributor DIST016,Agra,T30,ARN-55936,405.46,611,72.75,2007-03-15,Trail
DIST017,Distributor DIST017,Pune,T30,ARN-63035,3349.79,153,398.19,2018-06-23,Upfront
DIST018,Distributor DIST018,Visakhapatnam,B30,ARN-57755,1919.78,998,68.9,2012-06-28,Both
DIST019,Distributor DIST019,Jaipur,B30,ARN-33102,823.83,414,265.77,2015-02-03,Trail
DIST020,Distributor DIST020,Amritsar,B30,ARN-74759,581.04,638,498.92,2018-06-24,Upfront
DIST021,Distributor DIST021,Pune,T30,ARN-17368,2340.15,216,440.04,2013-11-18,Both
DIST022,Distributor DIST022,Delhi,B30,ARN-21168,4389.77,1872,326.01,2005-07-22,Upfront
DIST023,Distributor DIST023,Kochi,B30,ARN-91109,1730.55,734,409.12,2006-05-26,Upfront
DIST024,Distributor DIST024,Jaipur,B30,ARN-77564,4396.24,1368,484.5,2016-07-02,Upfront
DIST025,Distributor DIST025,Lucknow,B30,ARN-68461,127.02,669,69.33,2015-10-22,Both
DIST026,Distributor DIST026,Meerut,B30,ARN-64424,3923.18,135,202.39,2013-04-09,Upfront
DIST027,Distributor DIST027,Rajkot,B30,ARN-42929,4276.34,231,167.82,2012-04-02,Trail
DIST028,Distributor DIST028,Patna,B30,ARN-98836,3762.42,102,423.41,2006-12-09,Trail
DIST029,Distributor DIST029,Nashik,T30,ARN-91592,2841.11,1075,361.72,2017-10-12,Upfront
DIST030,Distributor DIST030,Nagpur,T30,ARN-17594,2699.21,382,199.0,2012-03-29,Both
DIST031,Distributor DIST031,Nagpur,T30,ARN-18929,3731.47,271,482.77,2009-01-05,Upfront
DIST032,Distributor DIST032,Bhopal,B30,ARN-81011,2970.77,18,367.57,2018-04-05,Both
DIST033,Distributor DIST033,Ahmedabad,B30,ARN-28102,3081.52,492,72.59,2020-06-27,Both
DIST034,Distributor DIST034,Delhi,B30,ARN-24310,971.77,933,429.13,2009-09-18,Upfront
DIST035,Distributor DIST035,Mumbai,B30,ARN-17414,3453.84,254,327.58,2012-06-17,Trail
DIST036,Distributor DIST036,Surat,T30,ARN-41616,1456.12,1457,54.79,2006-05-12,Upfront
DIST037,Distributor DIST037,Ahmedabad,B30,ARN-46347,2571.0,924,415.26,2013-01-15,Trail
DIST038,Distributor DIST038,Coimbatore,T30,ARN-68901,3824.57,231,73.77,2019-11-26,Trail
DIST039,Distributor DIST039,Ranchi,T30,ARN-83903,458.76,1929,411.05,2009-04-09,Both
DIST040,Distributor DIST040,Indore,B30,ARN-25702,4590.12,627,485.32,2013-12-21,Trail
DIST041,Distributor DIST041,Visakhapatnam,T30,ARN-91299,4734.69,1087,355.01,2011-04-02,Trail
DIST042,Distributor DIST042,Kochi,B30,ARN-43426,673.43,1612,265.75,2014-03-07,Upfront
DIST043,Distributor DIST043,Lucknow,T30,ARN-78459,4541.76,1397,228.18,2018-01-24,Upfront
DIST044,Distributor DIST044,Lucknow,B30,ARN-50588,3352.52,1087,354.13,2017-08-28,Both
DIST045,Distributor DIST045,Bhopal,B30,ARN-54373,3314.73,1101,410.73,2008-11-15,Both
DIST046,Distributor DIST046,Delhi,B30,ARN-83305,4546.15,267,136.27,2019-01-09,Trail
DIST047,Distributor DIST047,Kochi,B30,ARN-65272,1566.8,1262,165.17,2012-07-02,Upfront
DIST048,Distributor DIST048,Patna,T30,ARN-44191,2060.68,1938,56.72,2018-03-06,Both
DIST049,Distributor DIST049,Bhubaneswar,B30,ARN-45200,1352.27,705,211.87,2013-04-29,Trail
DIST050,Distributor DIST050,Guwahati,B30,ARN-59520,2088.44,1051,200.51,2011-01-28,Trail
