overall_rank,amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,std_dev_ann_pct,aum_crore,alpha,composite_score
1,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,7.68,10.37,-2.62,0.5,39116.0,1.85,29.3
2,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,1.06,1.66,-17.07,14.0,11361.0,1.62,28.7
3,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,0.98,1.57,-19.5,16.0,35012.0,1.85,28.65
4,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,0.96,1.37,-12.14,16.0,17912.0,1.79,28.45
5,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,1.0,1.68,-16.07,14.0,20909.0,0.86,28.05
6,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,0.94,1.35,-13.35,25.0,19259.0,1.23,27.7
7,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,1.84,2.79,-6.01,4.0,27953.0,1.98,27.4
8,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,0.9,1.47,-23.61,25.0,41613.0,1.84,26.55
9,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,0.93,1.67,-24.78,25.0,36061.0,1.13,26.25
10,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,6.18,9.7,-3.81,0.5,27623.0,1.52,25.95
11,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,5.14,8.76,-3.66,0.5,38995.0,1.18,25.55
12,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,1.52,2.11,-2.3,4.0,24101.0,1.6,25.25
13,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,0.98,1.5,-21.89,15.0,2571.0,0.55,24.85
13,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,0.96,1.27,-21.92,19.0,47469.0,1.91,24.85
15,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,1.33,2.38,-2.23,4.0,30030.0,0.89,24.35
16,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,0.98,1.25,-15.07,14.0,23500.0,1.34,22.25
17,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,0.84,1.4,-14.45,25.0,21545.0,0.51,22.05
18,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,1.06,1.7,-17.41,14.0,6434.0,0.78,21.9
19,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,0.87,1.44,-13.67,19.0,23185.0,0.95,21.2
