investor_id,age,gender,city,city_tier,risk_profile,kyc_status,annual_income_lakh,occupation,pan_verified,registration_date
INV00001,30,F,Nashik,B30,Conservative,Pending,55.9,Self-Employed,True,2018-12-08
INV00002,35,M,Visakhapatnam,B30,Aggressive,Verified,54.2,Salaried,True,2024-07-07
INV00003,35,M,Indore,B30,Conservative,Verified,26.4,Self-Employed,True,2022-02-23
INV00004,62,M,Ranchi,B30,Conservative,Verified,71.9,Retired,True,2024-11-26
INV00005,54,M,Meerut,B30,Conservative,Verified,85.1,Self-Employed,True,2020-06-20
INV00006,58,M,Bengaluru,T30,Conservative,Verified,58.4,Retired,True,2018-04-19
INV00007,62,F,Bhopal,B30,Conservative,Verified,24.0,Student,True,2020-12-04
INV00008,25,F,Bhopal,B30,Conservative,Pending,7.5,Salaried,False,2021-08-04
INV00009,47,M,Amritsar,B30,Conservative,Verified,31.2,Business,True,2025-11-23
INV00010,45,F,Ludhiana,B30,Moderate,Verified,92.2,Retired,True,2021-10-04
INV00011,36,M,Meerut,B30,Moderate,Verified,62.0,Business,True,2024-08-15
INV00012,54,F,Visakhapatnam,B30,Aggressive,Pending,67.3,Salaried,True,2019-11-18
INV00013,32,M,Ranchi,B30,Aggressive,Verified,53.0,Salaried,True,2019-02-26
INV00014,26,F,Indore,B30,Aggressive,Verified,92.1,Self-Employed,True,2021-08-22
INV00015,57,M,Bengaluru,T30,Aggressive,Pending,8.6,Salaried,True,2020-06-11
INV00016,63,M,Hyderabad,T30,Moderate,Verified,50.6,Retired,True,2024-05-03
INV00017,51,F,Jaipur,T30,Moderate,Verified,9.6,Retired,True,2023-05-26
INV00018,42,F,Agra,B30,Moderate,Verified,51.3,Student,False,2018-03-03
INV00019,59,M,Lucknow,B30,Moderate,Verified,41.0,Business,True,2020-05-19
INV00020,53,F,Bhubaneswar,B30,Aggressive,Verified,45.6,Retired,True,2020-02-25
INV00021,26,F,Ranchi,B30,Aggressive,Verified,6.2,Salaried,True,2024-04-06
INV00022,40,M,Jaipur,T30,Moderate,Pending,64.9,Retired,True,2018-05-08
INV00023,37,M,Patna,B30,Moderate,Rejected,88.8,Salaried,True,2018-05-29
INV00024,43,F,Pune,T30,Moderate,Verified,33.6,Salaried,True,2022-01-29
INV00025,64,M,Bhopal,B30,Aggressive,Pending,15.1,Self-Employed,True,2019-05-21
INV00026,40,M,Hyderabad,T30,Aggressive,Verified,47.1,Self-Employed,True,2025-12-14
INV00027,56,F,Bhubaneswar,B30,Conservative,Verified,34.8,Salaried,True,2022-03-28
INV00028,55,M,Mysuru,B30,Conservative,Verified,42.1,Student,True,2019-01-08
INV00029,40,M,Nashik,B30,Conservative,Verified,97.0,Salaried,True,2022-10-17
