txn_id,investor_id,fund_id,txn_date,txn_type,amount,units,nav_at_txn,city,city_tier,age,gender,kyc_status,risk_profile,folio_no,kyc_valid,txn_month
TXN0000001,INV00528,F005,2025-07-14,Lumpsum,72845.79,1031.6007,70.6143,Patna,B30,54,F,Pending,Aggressive,FOLIO734362,True,2025-07
TXN0000002,INV00577,F005,2023-11-06,Sip,500.0,14.8687,33.6277,Ludhiana,B30,55,M,Verified,Conservative,INV00577_F005,True,2023-11
TXN0000003,INV01150,F002,2026-01-11,Lumpsum,197698.38,1525.9498,129.5576,Bhopal,B30,27,M,Verified,Conservative,FOLIO397159,True,2026-01
TXN0000004,INV01816,F005,2026-04-10,Sip,3000.0,75.356,39.811,Amritsar,B30,36,F,Pending,Aggressive,FOLIO932781,True,2026-04
TXN0000005,INV01405,F006,2022-11-02,Sip,5000.0,48.0502,104.0578,Nashik,B30,43,F,Verified,Conservative,FOLIO527191,True,2022-11
TXN0000006,INV00779,F001,2023-04-26,Switch,41430.49,252.5273,164.0634,Bengaluru,T30,52,F,Verified,Aggressive,FOLIO424635,True,2023-04
TXN0000007,INV01110,F007,2022-03-04,Sip,2000.0,20.9879,95.293,Varanasi,B30,23,F,Verified,Moderate,FOLIO894578,True,2022-03
TXN0000008,INV00864,F007,2022-02-02,Sip,2000.0,12.3489,161.9577,Varanasi,B30,22,M,Pending,Moderate,FOLIO628448,True,2022-02
TXN0000009,INV00748,F001,2022-05-26,Sip,1000.0,7.1751,139.3709,Surat,T30,25,M,Verified,Moderate,FOLIO341591,True,2022-05
TXN0000010,INV01392,F002,2024-05-16,Lumpsum,51475.26,569.3103,90.4169,Mysuru,B30,25,F,Verified,Moderate,FOLIO561412,True,2024-05
TXN0000011,INV01172,F001,2024-02-04,Sip,2000.0,29.6638,67.4222,Pune,T30,35,M,Verified,Conservative,FOLIO719425,True,2024-02
TXN0000012,INV00669,F005,2024-06-24,Lumpsum,33024.13,406.0936,81.3215,Rajkot,B30,38,M,Verified,Moderate,FOLIO881543,True,2024-06
TXN0000013,INV00749,F004,2022-07-18,Lumpsum,163337.62,866.9535,188.4041,Agra,B30,60,F,Pending,Conservative,FOLIO711869,True,2022-07
TXN0000014,INV00112,F006,2026-01-20,Lumpsum,288471.41,1926.8095,149.7145,Pune,T30,48,M,Verified,Moderate,FOLIO650201,True,2026-01
TXN0000015,INV01306,F010,2024-12-24,Sip,10000.0,53.1975,187.9788,Kochi,B30,38,F,Verified,Aggressive,FOLIO524270,True,2024-12
TXN0000016,INV01190,F004,2024-05-29,Sip,500.0,4.34,115.2074,Coimbatore,B30,26,M,Verified,Conservative,FOLIO437923,True,2024-05
TXN0000017,INV01462,F010,2024-10-10,Sip,10000.0,85.9715,116.3176,Pune,T30,25,F,Verified,Conservative,FOLIO107251,True,2024-10
TXN0000018,INV00767,F008,2022-04-11,Stp,97086.35,488.2984,198.8259,Kochi,B30,44,M,Rejected,Moderate,FOLIO988736,False,2022-04
TXN0000019,INV00971,F002,2025-01-15,Sip,500.0,3.0659,163.0842,Ahmedabad,T30,30,M,Verified,Aggressive,FOLIO294624,True,2025-01
TXN0000020,INV00336,F001,2025-05-20,Sip,3000.0,53.6096,55.9601,Agra,B30,65,F,Verified,Aggressive,FOLIO957084,True,2025-05
TXN0000021,INV00295,F010,2025-12-01,Lumpsum,394136.32,11159.1167,35.3197,Pune,T30,23,M,Verified,Moderate,FOLIO524539,True,2025-12
TXN0000022,INV00593,F005,2022-03-23,Sip,5000.0,27.013,185.0961,Chennai,T30,31,F,Verified,Conservative,FOLIO900154,True,2022-03
TXN0000023,INV00336,F007,2026-07-05,Redemption,92577.68,727.302,127.2892,Agra,B30,65,F,Verified,Aggressive,FOLIO295907,True,2026-07
TXN0000024,INV00529,F003,2024-06-18,Lumpsum,122194.76,652.4713,187.2799,Jaipur,T30,56,F,Verified,Aggressive,FOLIO855949,True,2024-06
TXN0000025,INV01096,F006,2025-08-27,Sip,1000.0,18.0908,55.2767,Ranchi,B30,53,M,Verified,Conservative,FOLIO703174,True,2025-08
TXN0000026,INV00193,F005,2025-11-11,Switch,7460.61,58.6521,127.2011,Visakhapatnam,B30,27,M,Verified,Conservative,FOLIO937158,True,2025-11
TXN0000027,INV00359,F009,2023-07-26,Sip,1000.0,5.1897,192.6894,Chennai,T30,51,F,Verified,Aggressive,FOLIO174031,True,2023-07
TXN0000028,INV01239,F010,2024-12-11,Sip,5000.0,426.3436,11.7276,Delhi,T30,46,F,Verified,Moderate,FOLIO447497,True,2024-12
TXN0000029,INV01680,F006,2022-06-22,Sip,2000.0,14.1735,141.1084,Kolkata,T30,33,M,Verified,Conservative,FOLIO507900,True,2022-06
TXN0000030,INV00118,F008,2023-10-25,Sip,10000.0,79.5059,125.7768,Coimbatore,B30,31,F,Verified,Aggressive,FOLIO677885,True,2023-10
TXN0000031,INV01965,F004,2022-09-12,Sip,10000.0,59.4727,168.1444,Patna,B30,48,M,Verified,Conservative,FOLIO357797,True,2022-09
TXN0000032,INV00438,F003,2023-01-13,Stp,43817.1,340.1178,128.8292,Pune,T30,34,F,Verified,Conservative,FOLIO234512,True,2023-01
TXN0000033,INV01010,F008,2024-08-15,Lumpsum,105857.26,4350.5144,24.3321,Nagpur,B30,47,F,Verified,Aggressive,FOLIO630822,True,2024-08
TXN0000034,INV01434,F001,2024-03-26,Sip,2000.0,13.448,148.721,Nagpur,B30,30,F,Verified,Conservative,FOLIO941644,True,2024-03
TXN0000035,INV00908,F001,2023-03-01,Lumpsum,30918.17,377.484,81.9059,Meerut,B30,30,F,Verified,Aggressive,FOLIO744205,True,2023-03
TXN0000036,INV00642,F003,2025-07-01,Lumpsum,155596.57,1199.3586,129.7332,Visakhapatnam,B30,47,M,Verified,Conservative,FOLIO964122,True,2025-07
TXN0000037,INV00077,F008,2026-06-09,Stp,73064.53,2079.6837,35.1325,Varanasi,B30,33,M,Pending,Aggressive,FOLIO119401,True,2026-06
TXN0000038,INV01384,F007,2024-08-27,Stp,37315.56,894.196,41.7309,Ludhiana,B30,43,F,Pending,Moderate,FOLIO244409,True,2024-08
TXN0000039,INV00761,F010,2022-01-05,Redemption,86510.29,2142.341,40.3812,Varanasi,B30,50,M,Verified,Moderate,FOLIO357016,True,2022-01
TXN0000040,INV01448,F007,2023-01-26,Redemption,132809.59,1707.1139,77.7977,Ranchi,B30,44,F,Verified,Moderate,FOLIO948898,True,2023-01
TXN0000041,INV01933,F007,2026-06-18,Sip,3000.0,20.2025,148.4965,Kolkata,T30,42,M,Verified,Conservative,FOLIO569569,True,2026-06
TXN0000042,INV00548,F006,2025-05-03,Lumpsum,295167.98,9887.5244,29.8526,Hyderabad,T30,34,M,Verified,Aggressive,FOLIO715592,True,2025-05
TXN0000043,INV01432,F010,2025-10-23,Lumpsum,289286.13,2561.8713,112.9199,Amritsar,B30,39,F,Verified,Moderate,FOLIO727212,True,2025-10
TXN0000044,INV01618,F002,2023-06-12,Lumpsum,354502.52,3888.0537,91.1774,Lucknow,B30,26,M,Pending,Moderate,FOLIO750348,True,2023-06
TXN0000045,INV01821,F006,2026-07-25,Sip,2000.0,16.1981,123.4713,Surat,T30,43,M,Verified,Aggressive,FOLIO317618,True,2026-07
TXN0000046,INV00293,F007,2026-05-07,Redemption,60023.17,1753.2074,34.2362,Agra,B30,56,M,Verified,Moderate,FOLIO719160,True,2026-05
TXN0000047,INV00527,F007,2022-07-27,Sip,1000.0,6.8243,146.5352,Jaipur,T30,41,M,Verified,Conservative,FOLIO659590,True,2022-07
TXN0000048,INV01650,F002,2025-09-14,Redemption,21761.55,171.3179,127.0244,Mysuru,B30,33,F,Verified,Moderate,FOLIO455922,True,2025-09
TXN0000049,INV00467,F005,2022-02-03,Sip,500.0,11.1942,44.666,Guwahati,B30,32,M,Verified,Moderate,FOLIO877322,True,2022-02
TXN0000050,INV01432,F003,2022-10-09,Redemption,163507.47,839.7396,194.7121,Amritsar,B30,39,F,Verified,Moderate,FOLIO418961,True,2022-10
TXN0000051,INV01924,F008,2023-09-07,Sip,10000.0,245.6584,40.7069,Indore,B30,49,F,Pending,Aggressive,FOLIO583493,True,2023-09
TXN0000052,INV01529,F009,2025-11-26,Lumpsum,424386.15,2700.9162,157.1267,Bhubaneswar,B30,25,M,Verified,Conservative,FOLIO235022,True,2025-11
TXN0000053,INV00420,F008,2024-12-12,Lumpsum,326221.11,15546.4582,20.9836,Amritsar,B30,41,F,Pending,Aggressive,FOLIO989003,True,2024-12
TXN0000054,INV00595,F002,2024-03-05,Lumpsum,195287.74,7926.7182,24.6366,Meerut,B30,65,F,Verified,Moderate,FOLIO831809,True,2024-03
TXN0000055,INV01482,F005,2025-03-24,Lumpsum,203402.96,2058.0608,98.8323,Kolkata,T30,35,F,Verified,Conservative,FOLIO728577,True,2025-03
TXN0000056,INV01099,F005,2024-03-12,Sip,10000.0,139.5327,71.6678,Kochi,B30,58,F,Verified,Moderate,FOLIO565381,True,2024-03
TXN0000057,INV01277,F005,2025-03-07,Stp,39295.24,220.9051,177.8829,Vadodara,B30,45,M,Verified,Conservative,FOLIO103887,True,2025-03
TXN0000058,INV01754,F010,2024-06-29,Sip,3000.0,18.4324,162.7569,Hyderabad,T30,47,M,Verified,Conservative,FOLIO669380,True,2024-06
TXN0000059,INV00122,F010,2022-10-16,Sip,3000.0,34.824,86.1475,Hyderabad,T30,57,M,Pending,Conservative,INV00122_F010,True,2022-10
TXN0000060,INV00858,F006,2023-12-31,Redemption,146758.52,1048.0287,140.0329,Jaipur,T30,22,M,Verified,Conservative,FOLIO391276,True,2023-12
TXN0000061,INV00677,F008,2025-09-24,Redemption,189457.36,2658.3044,71.27,Coimbatore,B30,62,F,Verified,Aggressive,FOLIO475887,True,2025-09
TXN0000062,INV01820,F008,2023-12-23,Sip,1000.0,17.1217,58.4054,Ludhiana,B30,32,M,Verified,Conservative,FOLIO105998,True,2023-12
TXN0000063,INV00015,F001,2024-03-02,Lumpsum,172101.35,1078.9354,159.5103,Bengaluru,T30,57,M,Pending,Aggressive,FOLIO656746,True,2024-03
TXN0000064,INV01753,F003,2023-08-20,Lumpsum,181919.59,2048.7039,88.7974,Amritsar,B30,42,F,Verified,Aggressive,FOLIO440887,True,2023-08
TXN0000065,INV00219,F003,2022-12-25,Redemption,172453.4,2903.1435,59.4023,Bhopal,B30,27,F,Verified,Moderate,FOLIO717326,True,2022-12
TXN0000066,INV01253,F008,2023-08-30,Sip,1000.0,20.703,48.3022,Chennai,T30,63,M,Verified,Aggressive,FOLIO660370,True,2023-08
TXN0000067,INV00873,F001,2024-11-15,Stp,83813.24,505.171,165.9106,Bhopal,B30,59,M,Verified,Moderate,FOLIO865659,True,2024-11
TXN0000068,INV00131,F008,2022-02-10,Switch,41412.72,2219.2652,18.6606,Visakhapatnam,B30,32,F,Verified,Conservative,FOLIO949231,True,2022-02
TXN0000069,INV01919,F005,2022-11-12,Redemption,103026.21,1169.0211,88.1303,Agra,B30,56,F,Verified,Aggressive,FOLIO936043,True,2022-11
TXN0000070,INV01421,F006,2026-02-06,Sip,5000.0,33.3738,149.8181,Pune,T30,43,F,Verified,Moderate,FOLIO738282,True,2026-02
TXN0000071,INV01592,F005,2026-03-10,Sip,2000.0,14.6076,136.915,Amritsar,B30,63,F,Verified,Conservative,INV01592_F005,True,2026-03
TXN0000072,INV01578,F007,2025-07-30,Sip,5000.0,49.8158,100.3698,Coimbatore,B30,33,M,Verified,Aggressive,FOLIO985662,True,2025-07
TXN0000073,INV01883,F010,2024-09-24,Sip,2000.0,27.0414,73.9607,Mysuru,B30,27,M,Verified,Conservative,FOLIO381779,True,2024-09
TXN0000074,INV00225,F004,2024-01-13,Sip,2000.0,18.1721,110.0588,Indore,B30,35,M,Verified,Conservative,FOLIO144289,True,2024-01
TXN0000075,INV00951,F004,2023-12-26,Stp,38386.44,271.5753,141.3473,Ludhiana,B30,55,M,Verified,Aggressive,FOLIO634185,True,2023-12
TXN0000076,INV01995,F001,2025-03-19,Sip,10000.0,76.0803,131.4401,Mumbai,T30,60,F,Verified,Moderate,FOLIO363417,True,2025-03
TXN0000077,INV01387,F001,2023-11-21,Lumpsum,315828.97,2765.1832,114.2163,Kolkata,T30,35,M,Verified,Conservative,FOLIO553190,True,2023-11
TXN0000078,INV00003,F003,2026-01-08,Lumpsum,138781.1,1038.5631,133.628,Indore,B30,35,M,Verified,Conservative,FOLIO146446,True,2026-01
TXN0000079,INV01642,F004,2022-07-04,Sip,5000.0,40.2939,124.0883,Chennai,T30,23,F,Verified,Conservative,FOLIO448256,True,2022-07
TXN0000080,INV01067,F005,2025-06-04,Redemption,4494.89,97.0193,46.3299,Ranchi,B30,33,M,Verified,Moderate,FOLIO142854,True,2025-06
TXN0000081,INV00466,F002,2025-02-28,Stp,66833.8,671.5524,99.5213,Kolkata,T30,33,M,Verified,Aggressive,FOLIO582634,True,2025-02
TXN0000082,INV00743,F010,2024-01-19,Switch,12254.2,178.4638,68.6649,Indore,B30,50,F,Pending,Aggressive,FOLIO546023,True,2024-01
TXN0000083,INV01512,F005,2025-11-07,Lumpsum,83688.62,7820.0699,10.7018,Lucknow,B30,22,M,Rejected,Aggressive,FOLIO859073,False,2025-11
TXN0000084,INV00265,F010,2023-10-18,Stp,52479.97,615.0811,85.322,Patna,B30,44,F,Verified,Conservative,FOLIO389882,True,2023-10
TXN0000085,INV00218,F010,2024-05-10,Sip,10000.0,64.2566,155.626,Chennai,T30,47,M,Pending,Moderate,FOLIO550219,True,2024-05
TXN0000086,INV00064,F006,2026-01-19,Lumpsum,359633.6,2338.6033,153.7814,Lucknow,B30,23,F,Verified,Moderate,FOLIO540391,True,2026-01
TXN0000087,INV01718,F008,2023-08-23,Redemption,42747.61,249.4488,171.3683,Hyderabad,T30,22,M,Verified,Moderate,FOLIO833787,True,2023-08
TXN0000088,INV00006,F007,2024-04-05,Sip,5000.0,98.832,50.5909,Bengaluru,T30,58,M,Verified,Conservative,FOLIO814480,True,2024-04
TXN0000089,INV00178,F006,2022-07-08,Switch,53433.48,297.2337,179.7693,Vadodara,B30,62,F,Verified,Aggressive,FOLIO591508,True,2022-07
TXN0000090,INV01108,F009,2022-11-03,Sip,1000.0,5.6052,178.4058,Coimbatore,B30,65,F,Verified,Conservative,FOLIO961617,True,2022-11
TXN0000091,INV00697,F010,2023-10-02,Sip,5000.0,40.7144,122.8067,Rajkot,B30,61,F,Verified,Moderate,FOLIO540830,True,2023-10
TXN0000092,INV01901,F003,2023-04-28,Sip,10000.0,267.1067,37.4382,Lucknow,B30,26,F,Verified,Aggressive,FOLIO224829,True,2023-04
TXN0000093,INV00923,F010,2024-10-26,Redemption,6368.0,164.1837,38.7858,Bhubaneswar,B30,37,F,Verified,Aggressive,FOLIO594431,True,2024-10
TXN0000094,INV01392,F010,2022-04-26,Sip,3000.0,42.7911,70.108,Mysuru,B30,25,F,Verified,Moderate,FOLIO938287,True,2022-04
TXN0000095,INV01464,F009,2025-07-09,Lumpsum,32536.27,181.941,178.8287,Hyderabad,T30,24,M,Verified,Aggressive,FOLIO588652,True,2025-07
TXN0000096,INV00915,F010,2023-10-24,Stp,7989.53,49.8406,160.3016,Ranchi,B30,61,M,Rejected,Conservative,FOLIO429211,False,2023-10
TXN0000097,INV00643,F004,2025-04-30,Lumpsum,494472.3,2794.8879,176.9203,Mumbai,T30,23,F,Verified,Conservative,FOLIO754641,True,2025-04
TXN0000098,INV01404,F001,2024-07-15,Stp,46814.12,2071.541,22.5987,Surat,T30,35,F,Verified,Conservative,FOLIO435969,True,2024-07
TXN0000099,INV01012,F010,2022-04-29,Lumpsum,154737.47,1447.6832,106.8863,Ahmedabad,T30,49,F,Verified,Aggressive,FOLIO846803,True,2022-04
TXN0000100,INV01285,F007,2022-12-10,Sip,5000.0,100.1631,49.9186,Rajkot,B30,47,F,Verified,Conservative,FOLIO636584,True,2022-12
TXN0000101,INV00908,F007,2023-02-25,Lumpsum,431316.05,2242.9085,192.3021,Meerut,B30,30,F,Verified,Aggressive,FOLIO517955,True,2023-02
TXN0000102,INV00163,F003,2023-05-03,Lumpsum,342223.09,7729.0912,44.2773,Vadodara,B30,33,F,Verified,Conservative,FOLIO924549,True,2023-05
TXN0000103,INV01368,F010,2022-02-27,Lumpsum,170201.12,6360.0445,26.761,Agra,B30,58,F,Verified,Moderate,FOLIO673385,True,2022-02
TXN0000104,INV00205,F003,2025-03-07,Lumpsum,272310.09,2058.599,132.2793,Indore,B30,57,F,Verified,Conservative,FOLIO922228,True,2025-03
TXN0000105,INV01562,F002,2024-11-12,Stp,81732.46,5432.5148,15.0451,Jaipur,T30,26,F,Pending,Moderate,FOLIO107384,True,2024-11
TXN0000106,INV01875,F007,2024-03-05,Stp,85131.16,690.7855,123.2382,Delhi,T30,55,M,Verified,Conservative,FOLIO149362,True,2024-03
TXN0000107,INV00932,F010,2022-09-28,Sip,1000.0,8.1966,122.0018,Mysuru,B30,31,M,Verified,Conservative,FOLIO680155,True,2022-09
TXN0000108,INV01243,F004,2023-04-04,Sip,10000.0,93.3163,107.1624,Vadodara,B30,46,F,Pending,Moderate,FOLIO557870,True,2023-04
TXN0000109,INV01355,F005,2025-05-29,Redemption,184342.73,3286.2023,56.096,Bengaluru,T30,34,M,Verified,Aggressive,FOLIO541160,True,2025-05
TXN0000110,INV01006,F006,2024-07-31,Lumpsum,209814.02,1933.2845,108.5272,Pune,T30,24,M,Verified,Conservative,FOLIO336229,True,2024-07
TXN0000111,INV01996,F004,2023-11-24,Sip,3000.0,239.5928,12.5212,Pune,T30,51,F,Verified,Aggressive,FOLIO347595,True,2023-11
TXN0000112,INV01515,F002,2026-04-18,Sip,10000.0,55.3184,180.7717,Pune,T30,51,F,Verified,Aggressive,FOLIO438590,True,2026-04
TXN0000113,INV00675,F006,2025-07-18,Sip,2000.0,21.3685,93.5957,Amritsar,B30,61,F,Pending,Conservative,FOLIO474841,True,2025-07
TXN0000114,INV00261,F002,2024-12-10,Lumpsum,303734.53,1719.287,176.6631,Vadodara,B30,49,F,Verified,Aggressive,FOLIO387150,True,2024-12
TXN0000115,INV01456,F005,2023-06-24,Sip,2000.0,10.1754,196.5525,Jaipur,T30,58,F,Verified,Conservative,FOLIO209755,True,2023-06
TXN0000116,INV01991,F002,2023-09-30,Sip,3000.0,15.7328,190.6844,Vadodara,B30,55,M,Verified,Aggressive,FOLIO835639,True,2023-09
TXN0000117,INV00210,F003,2023-04-10,Switch,79534.6,463.3316,171.6581,Bengaluru,T30,55,F,Verified,Conservative,FOLIO661778,True,2023-04
TXN0000118,INV00910,F002,2023-10-27,Lumpsum,199804.26,1065.4248,187.5348,Ahmedabad,T30,64,M,Verified,Conservative,FOLIO178273,True,2023-10
TXN0000119,INV01524,F001,2025-04-08,Lumpsum,439779.01,4601.9555,95.5635,Pune,T30,62,F,Verified,Aggressive,FOLIO156032,True,2025-04
TXN0000120,INV01790,F003,2023-04-21,Lumpsum,154763.81,980.6613,157.8158,Nashik,B30,24,F,Verified,Aggressive,FOLIO547062,True,2023-04
TXN0000121,INV01050,F005,2023-06-24,Sip,3000.0,25.1771,119.1559,Bhubaneswar,B30,27,F,Pending,Conservative,FOLIO898262,True,2023-06
TXN0000122,INV00475,F007,2026-01-26,Redemption,190801.99,1158.2242,164.7367,Agra,B30,36,F,Verified,Aggressive,FOLIO328515,True,2026-01
TXN0000123,INV01921,F003,2025-06-09,Sip,1000.0,6.4896,154.0927,Guwahati,B30,30,F,Verified,Conservative,FOLIO318431,True,2025-06
TXN0000124,INV01779,F002,2023-12-29,Lumpsum,251618.63,2619.0864,96.0711,Bhopal,B30,30,F,Verified,Moderate,FOLIO730634,True,2023-12
TXN0000125,INV01864,F003,2025-09-18,Sip,500.0,4.6852,106.719,Bhopal,B30,62,F,Verified,Conservative,FOLIO911622,True,2025-09
TXN0000126,INV01522,F004,2025-12-26,Sip,5000.0,29.8197,167.6744,Patna,B30,27,F,Verified,Aggressive,FOLIO486178,True,2025-12
TXN0000127,INV01888,F005,2025-08-08,Sip,1000.0,18.8461,53.0614,Meerut,B30,41,M,Verified,Moderate,FOLIO494175,True,2025-08
TXN0000128,INV01751,F006,2022-05-22,Lumpsum,315280.26,5406.5034,58.315,Nashik,B30,55,F,Verified,Aggressive,FOLIO553887,True,2022-05
TXN0000129,INV01633,F007,2022-02-19,Redemption,182166.02,2719.7357,66.9793,Ludhiana,B30,29,M,Verified,Aggressive,FOLIO987681,True,2022-02
TXN0000130,INV00965,F005,2024-03-07,Sip,500.0,6.6119,75.6212,Delhi,T30,38,M,Verified,Moderate,FOLIO474065,True,2024-03
TXN0000131,INV01116,F005,2025-08-24,Sip,10000.0,97.5223,102.5406,Bengaluru,T30,48,M,Pending,Moderate,FOLIO739379,True,2025-08
TXN0000132,INV00236,F007,2022-05-11,Sip,2000.0,160.0729,12.4943,Vadodara,B30,26,F,Rejected,Conservative,FOLIO273628,False,2022-05
TXN0000133,INV00158,F009,2025-09-22,Sip,5000.0,43.5373,114.8441,Nagpur,B30,30,F,Rejected,Aggressive,FOLIO400604,False,2025-09
TXN0000134,INV01826,F002,2023-04-12,Stp,30685.34,495.2691,61.9569,Indore,B30,63,F,Verified,Aggressive,FOLIO833007,True,2023-04
TXN0000135,INV01822,F001,2025-12-15,Lumpsum,409562.72,8419.3903,48.6452,Rajkot,B30,57,F,Verified,Conservative,FOLIO571595,True,2025-12
TXN0000136,INV00590,F001,2026-02-16,Switch,59557.64,406.2499,146.6035,Vadodara,B30,54,M,Verified,Conservative,FOLIO524744,True,2026-02
TXN0000137,INV00592,F004,2023-02-17,Stp,3838.51,98.9386,38.7969,Guwahati,B30,59,F,Verified,Conservative,FOLIO765232,True,2023-02
TXN0000138,INV00713,F001,2025-03-23,Stp,58929.11,408.2512,144.3452,Lucknow,B30,43,M,Verified,Conservative,FOLIO684927,True,2025-03
TXN0000139,INV01825,F004,2024-05-01,Sip,3000.0,89.8426,33.3917,Jaipur,T30,49,M,Verified,Conservative,FOLIO535670,True,2024-05
TXN0000140,INV00848,F007,2022-06-09,Sip,2000.0,13.1705,151.8545,Bhubaneswar,B30,38,F,Pending,Moderate,FOLIO391383,True,2022-06
TXN0000141,INV00357,F001,2022-10-03,Stp,83990.41,2373.1798,35.3915,Ahmedabad,T30,24,F,Verified,Conservative,FOLIO330875,True,2022-10
TXN0000142,INV00551,F010,2025-04-20,Lumpsum,40823.41,206.3582,197.8279,Kolkata,T30,35,F,Verified,Moderate,FOLIO543942,True,2025-04
TXN0000143,INV01135,F004,2024-05-12,Lumpsum,310512.5,23761.9667,13.0676,Coimbatore,B30,65,M,Verified,Conservative,FOLIO574312,True,2024-05
TXN0000144,INV01259,F002,2023-11-02,Sip,2000.0,32.0231,62.4549,Ranchi,B30,24,F,Verified,Conservative,FOLIO387674,True,2023-11
TXN0000145,INV00602,F001,2025-06-17,Sip,1000.0,6.345,157.6044,Bhopal,B30,46,F,Verified,Conservative,FOLIO580165,True,2025-06
TXN0000146,INV00623,F007,2024-01-09,Sip,2000.0,54.6129,36.6214,Meerut,B30,32,M,Verified,Conservative,FOLIO953075,True,2024-01
TXN0000147,INV00108,F002,2025-01-30,Sip,3000.0,19.6328,152.8055,Lucknow,B30,43,F,Verified,Aggressive,FOLIO169713,True,2025-01
TXN0000148,INV01163,F010,2026-05-22,Stp,73771.35,558.2787,132.1407,Indore,B30,50,F,Verified,Conservative,FOLIO764488,True,2026-05
TXN0000149,INV00686,F006,2025-04-08,Stp,64296.52,628.3016,102.3338,Guwahati,B30,27,M,Pending,Aggressive,FOLIO992136,True,2025-04
TXN0000150,INV01804,F005,2026-07-21,Sip,5000.0,269.5937,18.5464,Vadodara,B30,39,M,Verified,Aggressive,FOLIO931324,True,2026-07
TXN0000151,INV01883,F009,2023-10-25,Sip,1000.0,6.6155,151.1602,Mysuru,B30,27,M,Verified,Conservative,FOLIO166632,True,2023-10
TXN0000152,INV01493,F004,2026-08-31,Redemption,193740.23,1225.408,158.1026,Kochi,B30,48,F,Verified,Moderate,FOLIO368244,True,2026-08
TXN0000153,INV01793,F009,2024-03-28,Lumpsum,94381.13,515.7018,183.0149,Meerut,B30,43,M,Verified,Aggressive,FOLIO100832,True,2024-03
TXN0000154,INV00616,F008,2026-03-27,Sip,1000.0,44.3265,22.5599,Bengaluru,T30,31,M,Rejected,Conservative,FOLIO389399,False,2026-03
TXN0000155,INV00775,F002,2024-02-05,Lumpsum,149743.3,893.4717,167.5971,Vadodara,B30,53,M,Verified,Moderate,FOLIO197302,True,2024-02
TXN0000156,INV00235,F005,2025-11-27,Stp,46340.86,428.1261,108.2411,Bhubaneswar,B30,24,M,Verified,Conservative,FOLIO432204,True,2025-11
TXN0000157,INV00438,F002,2022-10-02,Redemption,2607.37,206.0647,12.6532,Pune,T30,34,F,Verified,Conservative,FOLIO355705,True,2022-10
TXN0000158,INV00903,F008,2025-08-25,Sip,500.0,4.6456,107.6287,Meerut,B30,48,M,Verified,Conservative,FOLIO654000,True,2025-08
TXN0000159,INV01648,F006,2024-10-25,Sip,500.0,3.3924,147.3883,Surat,T30,26,F,Verified,Aggressive,FOLIO355022,True,2024-10
TXN0000160,INV00176,F005,2023-02-27,Lumpsum,165663.37,879.8751,188.2806,Bhopal,B30,25,M,Verified,Moderate,FOLIO554174,True,2023-02
TXN0000161,INV00986,F009,2024-04-24,Sip,500.0,2.6371,189.6022,Coimbatore,B30,25,F,Verified,Moderate,INV00986_F009,True,2024-04
