fund_id,date,nav,nav_change_pct
F001,2022-01-03,100.434,
F001,2022-01-04,100.2936,-0.1398
F001,2022-01-05,101.1782,0.882
F001,2022-01-06,103.2219,2.0199
F001,2022-01-07,102.949,-0.2644
F001,2022-01-10,102.6768,-0.2644
F001,2022-01-11,104.8258,2.093
F001,2022-01-12,105.9135,1.0376
F001,2022-01-13,105.3095,-0.5703
F001,2022-01-14,106.0944,0.7453
F001,2022-01-17,105.4977,-0.5624
F001,2022-01-18,104.9012,-0.5654
F001,2022-01-19,105.2731,0.3545
F001,2022-01-20,102.6968,-2.4473
F001,2022-01-21,100.435,-2.2024
F001,2022-01-24,99.741,-0.691
F001,2022-01-25,98.4676,-1.2767
F001,2022-01-26,98.9092,0.4485
F001,2022-01-27,97.7812,-1.1404
F001,2022-01-28,96.0251,-1.7959
F001,2022-01-31,97.8931,1.9453
F001,2022-02-01,97.6449,-0.2535
F001,2022-02-02,97.7697,0.1278
F001,2022-02-03,95.9979,-1.8122
F001,2022-02-04,95.3569,-0.6677
F001,2022-02-07,95.5325,0.1842
F001,2022-02-08,94.1413,-1.4563
F001,2022-02-09,94.6387,0.5284
F001,2022-02-10,93.9376,-0.7408
F001,2022-02-11,93.619,-0.3392
F001,2022-02-14,92.9241,-0.7423
F001,2022-02-15,95.1988,2.4479
F001,2022-02-16,95.2202,0.0225
F001,2022-02-17,93.949,-1.335
F001,2022-02-18,94.9912,1.1093
F001,2022-02-21,93.5216,-1.5471
F001,2022-02-22,93.8129,0.3115
F001,2022-02-23,91.4605,-2.5075
F001,2022-02-24,89.9179,-1.6866
F001,2022-02-25,90.184,0.2959
F001,2022-02-28,91.0858,1.0
F001,2022-03-01,91.3252,0.2628
F001,2022-03-02,91.2244,-0.1104
F001,2022-03-03,90.9038,-0.3514
F001,2022-03-04,89.1929,-1.8821
F001,2022-03-07,88.3939,-0.8958
F001,2022-03-08,87.8999,-0.5589
F001,2022-03-09,89.143,1.4142
F001,2022-03-10,89.5769,0.4867
F001,2022-03-11,87.5597,-2.2519
F001,2022-03-14,87.9636,0.4613
F001,2022-03-15,87.5584,-0.4606
F001,2022-03-16,86.8229,-0.84
F001,2022-03-17,87.548,0.8351
F001,2022-03-18,88.7564,1.3803
F001,2022-03-21,89.8664,1.2506
F001,2022-03-22,88.9219,-1.051
F001,2022-03-23,88.6,-0.362
F001,2022-03-24,89.017,0.4707
F001,2022-03-25,90.1815,1.3082
F001,2022-03-28,89.6558,-0.5829
F001,2022-03-29,89.4753,-0.2013
F001,2022-03-30,88.2242,-1.3983
F001,2022-03-31,86.8875,-1.5151
F001,2022-04-01,87.84,1.0962
F001,2022-04-04,89.4239,1.8032
F001,2022-04-05,89.376,-0.0536
F001,2022-04-06,90.5777,1.3445
F001,2022-04-07,91.0398,0.5102
F001,2022-04-08,90.3127,-0.7987
F001,2022-04-11,90.7731,0.5098
F001,2022-04-12,92.6244,2.0395
F001,2022-04-13,92.6183,-0.0066
F001,2022-04-14,94.5392,2.074
F001,2022-04-15,91.3573,-3.3657
F001,2022-04-18,92.37,1.1085
F001,2022-04-19,92.5115,0.1532
F001,2022-04-20,92.1889,-0.3487
F001,2022-04-21,92.3357,0.1592
F001,2022-04-22,89.9868,-2.5439
F001,2022-04-25,89.7658,-0.2456
F001,2022-04-26,90.2184,0.5042
F001,2022-04-27,91.9878,1.9612
F001,2022-04-28,91.4048,-0.6338
F001,2022-04-29,90.4807,-1.011
F001,2022-05-02,89.9267,-0.6123
F001,2022-05-03,91.0328,1.23
F001,2022-05-04,91.4583,0.4674
F001,2022-05-05,90.865,-0.6487
F001,2022-05-06,91.5076,0.7072
F001,2022-05-09,91.6597,0.1662
F001,2022-05-10,92.8506,1.2993
F001,2022-05-11,92.0403,-0.8727
F001,2022-05-12,92.0403,0.0
F001,2022-05-13,91.2544,-0.8539
F001,2022-05-16,89.5547,-1.8626
F001,2022-05-17,89.9353,0.425
F001,2022-05-18,90.2765,0.3794
F001,2022-05-19,90.3186,0.0466
F001,2022-05-20,90.0793,-0.265
F001,2022-05-23,88.4579,-1.8
F001,2022-05-24,88.0096,-0.5068
F001,2022-05-25,87.6527,-0.4055
F001,2022-05-26,86.7736,-1.0029
F001,2022-05-27,86.6264,-0.1696
F001,2022-05-30,87.1161,0.5653
F001,2022-05-31,89.2871,2.4921
F001,2022-06-01,89.5255,0.267
F001,2022-06-02,89.8611,0.3749
F001,2022-06-03,89.8101,-0.0568
F001,2022-06-06,87.6058,-2.4544
F001,2022-06-07,87.6106,0.0055
F001,2022-06-08,87.7142,0.1183
F001,2022-06-09,90.5581,3.2422
F001,2022-06-10,90.3679,-0.21
F001,2022-06-13,90.7583,0.432
F001,2022-06-14,90.7536,-0.0052
F001,2022-06-15,89.4111,-1.4793
F001,2022-06-16,90.7752,1.5256
F001,2022-06-17,91.6988,1.0175
F001,2022-06-20,92.6785,1.0684
F001,2022-06-21,91.6199,-1.1422
F001,2022-06-22,93.3274,1.8637
F001,2022-06-23,91.6639,-1.7824
F001,2022-06-24,92.3999,0.8029
F001,2022-06-27,95.068,2.8876
F001,2022-06-28,93.8818,-1.2477
F001,2022-06-29,93.2282,-0.6962
F001,2022-06-30,93.3863,0.1696
F001,2022-07-01,92.8124,-0.6145
F001,2022-07-04,90.9786,-1.9758
F001,2022-07-05,91.0961,0.1292
F001,2022-07-06,89.8745,-1.341
F001,2022-07-07,90.4638,0.6557
F001,2022-07-08,89.4187,-1.1553
F001,2022-07-11,91.2562,2.0549
F001,2022-07-12,90.3635,-0.9782
F001,2022-07-13,90.0213,-0.3787
F001,2022-07-14,91.0093,1.0975
F001,2022-07-15,89.5894,-1.5602
F001,2022-07-18,89.8901,0.3356
F001,2022-07-19,91.4535,1.7392
F001,2022-07-20,89.579,-2.0497
F001,2022-07-21,89.8298,0.28
F001,2022-07-22,90.1692,0.3778
F001,2022-07-25,91.1217,1.0563
F001,2022-07-26,89.6929,-1.568
F001,2022-07-27,88.1891,-1.6766
F001,2022-07-28,88.8228,0.7186
F001,2022-07-29,89.2013,0.4261
F001,2022-08-01,89.5275,0.3657
F001,2022-08-02,89.9665,0.4904
F001,2022-08-03,89.2072,-0.844
F001,2022-08-04,89.5122,0.3419
F001,2022-08-05,89.889,0.4209
F001,2022-08-08,89.0902,-0.8887
F001,2022-08-09,91.2867,2.4655
F001,2022-08-10,91.8855,0.656
F001,2022-08-11,90.4992,-1.5087
F001,2022-08-12,91.3078,0.8935
F001,2022-08-15,90.1874,-1.2271
F001,2022-08-16,91.1463,1.0632
F001,2022-08-17,92.5556,1.5462
F001,2022-08-18,91.6052,-1.0268
F001,2022-08-19,92.7891,1.2924
F001,2022-08-22,93.3241,0.5766
F001,2022-08-23,94.3588,1.1087
F001,2022-08-24,96.7233,2.5059
F001,2022-08-25,96.4534,-0.279
F001,2022-08-26,95.5469,-0.9398
F001,2022-08-29,94.4802,-1.1164
F001,2022-08-30,93.516,-1.0205
F001,2022-08-31,93.4597,-0.0602
F001,2022-09-01,93.9116,0.4835
F001,2022-09-02,94.287,0.3997
F001,2022-09-05,95.3386,1.1153
F001,2022-09-06,95.3929,0.057
F001,2022-09-07,97.2336,1.9296
F001,2022-09-08,96.938,-0.304
F001,2022-09-09,100.4047,3.5762
F001,2022-09-12,101.2615,0.8533
F001,2022-09-13,100.1736,-1.0743
F001,2022-09-14,98.8191,-1.3522
F001,2022-09-15,99.4784,0.6672
