fund_id,quarter_end,sector,allocation_pct,num_stocks
F001,2022-03-31,Financial Services,11.32,8
F001,2022-03-31,IT,6.72,8
F001,2022-03-31,FMCG,26.09,3
F001,2022-03-31,Healthcare,1.72,5
F001,2022-03-31,Energy,7.92,5
F001,2022-03-31,Automobiles,2.02,3
F001,2022-03-31,Metals,8.09,11
F001,2022-03-31,Telecom,10.9,6
F001,2022-03-31,Real Estate,10.89,4
F001,2022-03-31,Infrastructure,14.34,12
F001,2022-06-30,Financial Services,24.11,8
F001,2022-06-30,IT,1.01,8
F001,2022-06-30,FMCG,5.28,2
F001,2022-06-30,Healthcare,14.58,7
F001,2022-06-30,Energy,8.66,4
F001,2022-06-30,Automobiles,2.66,5
F001,2022-06-30,Metals,10.1,9
F001,2022-06-30,Telecom,6.57,8
F001,2022-06-30,Real Estate,6.2,10
F001,2022-06-30,Infrastructure,20.83,5
F001,2022-09-30,Financial Services,3.98,12
F001,2022-09-30,IT,0.2,9
F001,2022-09-30,FMCG,0.46,6
F001,2022-09-30,Healthcare,14.76,6
F001,2022-09-30,Energy,24.61,7
F001,2022-09-30,Automobiles,8.87,1
F001,2022-09-30,Metals,3.45,1
F001,2022-09-30,Telecom,21.23,9
F001,2022-09-30,Real Estate,8.27,5
F001,2022-09-30,Infrastructure,14.15,1
F001,2022-12-31,Financial Services,16.34,12
F001,2022-12-31,IT,5.36,8
F001,2022-12-31,FMCG,7.33,10
F001,2022-12-31,Healthcare,2.32,2
F001,2022-12-31,Energy,3.89,7
F001,2022-12-31,Automobiles,16.94,3
F001,2022-12-31,Metals,25.25,3
F001,2022-12-31,Telecom,14.51,5
F001,2022-12-31,Real Estate,7.04,8
F001,2022-12-31,Infrastructure,1.02,8
F001,2023-03-31,Financial Services,0.59,8
F001,2023-03-31,IT,4.73,8
F001,2023-03-31,FMCG,6.29,11
F001,2023-03-31,Healthcare,9.47,12
F001,2023-03-31,Energy,0.07,12
F001,2023-03-31,Automobiles,46.16,1
F001,2023-03-31,Metals,4.56,8
F001,2023-03-31,Telecom,19.0,2
F001,2023-03-31,Real Estate,7.72,7
F001,2023-03-31,Infrastructure,1.41,3
F001,2023-06-30,Financial Services,15.05,11
F001,2023-06-30,IT,11.65,12
F001,2023-06-30,FMCG,7.06,8
F001,2023-06-30,Healthcare,6.81,7
F001,2023-06-30,Energy,0.86,9
F001,2023-06-30,Automobiles,10.05,12
F001,2023-06-30,Metals,22.81,10
F001,2023-06-30,Telecom,0.92,10
F001,2023-06-30,Real Estate,2.88,11
F001,2023-06-30,Infrastructure,21.91,5
F001,2023-09-30,Financial Services,4.26,9
F001,2023-09-30,IT,13.51,8
F001,2023-09-30,FMCG,9.74,12
F001,2023-09-30,Healthcare,11.55,3
F001,2023-09-30,Energy,6.84,5
F001,2023-09-30,Automobiles,4.54,6
F001,2023-09-30,Metals,0.63,11
F001,2023-09-30,Telecom,17.36,4
F001,2023-09-30,Real Estate,17.45,12
F001,2023-09-30,Infrastructure,14.14,10
F001,2023-12-31,Financial Services,16.47,8
F001,2023-12-31,IT,4.46,4
F001,2023-12-31,FMCG,0.36,7
F001,2023-12-31,Healthcare,26.4,11
F001,2023-12-31,Energy,10.78,3
F001,2023-12-31,Automobiles,5.85,7
F001,2023-12-31,Metals,1.72,4
F001,2023-12-31,Telecom,1.03,3
F001,2023-12-31,Real Estate,6.85,11
F001,2023-12-31,Infrastructure,26.07,8
F001,2024-03-31,Financial Services,19.16,12
F001,2024-03-31,IT,17.33,9
F001,2024-03-31,FMCG,19.28,12
F001,2024-03-31,Healthcare,18.19,7
