fund_id,year,return_1y_pct,return_3y_pct,return_5y_pct,benchmark_return_pct,alpha_pct,expense_ratio,sharpe_ratio,std_dev,category
F001,2022,38.96,34.24,31.71,36.52,3.19,1.8,0.38,17.96,Equity
F001,2023,21.86,15.61,18.3,21.59,3.55,1.0,1.87,9.23,Equity
F001,2024,-3.24,-0.97,0.67,-2.17,0.37,2.33,1.63,11.87,Equity
F001,2025,-10.77,-8.69,-10.7,-11.26,-0.0,2.13,1.75,24.33,Equity
F002,2022,24.08,20.13,21.63,21.71,2.99,0.39,0.43,20.48,Equity
F002,2023,13.01,11.39,12.78,12.91,-0.22,1.87,0.83,15.5,Equity
F002,2024,-13.46,-12.56,-11.9,-12.4,-2.08,3.65,1.4,10.33,Equity
F002,2025,4.29,2.13,0.01,5.57,-1.1,2.17,1.03,7.39,Equity
F003,2022,30.97,26.52,24.68,29.78,3.4,2.44,0.84,22.23,Equity
F003,2023,26.84,24.99,16.99,25.37,4.63,2.44,1.14,12.46,Equity
F003,2024,-7.37,-8.77,-8.55,-5.88,-2.29,2.19,1.29,20.54,Equity
F003,2025,-2.52,-1.08,-0.17,-0.69,-2.22,3.73,1.75,19.85,Equity
F004,2022,6.51,4.83,7.43,7.07,-0.67,1.11,2.46,17.61,Debt
F004,2023,5.65,6.19,3.59,6.5,2.46,1.6,1.28,24.48,Debt
F004,2024,7.21,7.6,6.75,6.83,-0.2,0.75,1.38,20.04,Debt
F004,2025,5.04,1.53,6.91,3.9,-0.81,0.98,2.33,12.97,Debt
F005,2022,8.43,6.95,9.07,5.76,2.62,0.87,1.92,10.24,Debt
F005,2023,8.64,8.35,4.84,6.19,0.67,0.74,1.2,14.53,Debt
F005,2024,7.47,9.12,7.35,5.42,-0.66,1.27,1.04,17.03,Debt
F005,2025,9.11,6.71,4.22,6.82,2.19,0.41,2.1,14.8,Debt
F006,2022,3.58,2.03,0.36,2.6,1.96,1.27,0.93,15.05,Hybrid
F006,2023,7.64,3.76,6.24,6.83,1.72,1.72,0.63,6.26,Hybrid
F006,2024,3.93,2.97,4.72,3.23,0.42,0.46,1.43,11.77,Hybrid
F006,2025,4.62,2.38,5.91,4.11,1.09,4.01,2.29,17.66,Hybrid
F007,2022,-10.66,-11.46,-5.9,-11.28,-1.64,2.13,1.79,21.92,Equity
F007,2023,18.09,13.7,10.95,15.6,0.87,4.5,2.42,12.34,Equity
F007,2024,-13.86,-10.02,-10.56,-11.0,-1.81,4.2,1.78,13.17,Equity
F007,2025,32.51,26.87,25.0,30.27,1.6,1.36,0.44,7.77,Equity
F008,2022,-0.92,0.65,2.43,-2.4,1.52,0.42,0.21,11.13,Equity
F008,2023,33.27,26.48,23.55,31.8,1.45,1.23,2.44,9.89,Equity
F008,2024,31.6,26.63,23.26,26.79,5.03,2.38,1.3,19.44,Equity
F008,2025,7.84,7.12,2.21,7.61,1.5,1.62,0.45,11.15,Equity
F009,2022,7.0,3.91,2.35,5.55,-0.62,2.2,1.55,22.03,Hybrid
F009,2023,-0.14,1.32,2.89,1.85,1.53,2.44,1.43,10.46,Hybrid
F009,2024,10.86,8.17,11.09,8.26,1.58,0.79,1.6,18.98,Hybrid
F009,2025,3.75,5.07,4.98,2.68,0.56,0.51,2.15,10.04,Hybrid
F010,2022,5.75,6.95,3.41,5.64,2.51,2.36,1.49,11.03,Debt
F010,2023,9.26,6.47,4.0,10.08,2.0,2.17,0.53,12.51,Debt
F010,2024,5.49,1.67,5.02,3.49,2.03,1.59,2.35,22.49,Debt
F010,2025,5.95,5.95,0.98,4.05,1.03,1.09,0.99,16.73,Debt
