sip_id,investor_id,fund_id,sip_amount,sip_date,start_date,frequency,total_instalments_completed,status,last_instalment_date,mandate_amount
SIP000001,INV01664,F004,3000,19,2022-01-01,Quarterly,41,Active,2025-05-01,10000
SIP000002,INV01510,F003,1000,8,2024-01-01,Monthly,30,Active,2026-06-01,2000
SIP000003,INV00903,F002,5000,26,2023-09-01,Monthly,16,Active,2024-12-01,1000
SIP000004,INV01250,F006,3000,14,2024-07-01,Monthly,20,Paused,2026-02-01,2000
SIP000005,INV01025,F008,2000,1,2023-03-01,Monthly,9,Cancelled,2023-11-01,5000
SIP000006,INV00404,F003,5000,28,2024-01-01,Monthly,10,Paused,2024-10-01,5000
SIP000007,INV00348,F002,3000,4,2024-10-01,Monthly,30,Active,2027-03-01,2000
SIP000008,INV00622,F005,500,20,2023-10-01,Monthly,20,Active,2025-05-01,10000
SIP000009,INV00421,F010,5000,25,2023-10-01,Monthly,46,Active,2027-07-01,1000
SIP000010,INV00963,F004,500,6,2023-08-01,Monthly,18,Active,2025-01-01,1000
SIP000011,INV01750,F007,500,20,2023-01-01,Monthly,22,Active,2024-10-01,2000
SIP000012,INV01557,F004,2000,24,2023-09-01,Monthly,5,Active,2024-01-01,5000
SIP000013,INV01741,F010,500,19,2025-02-01,Monthly,46,Active,2028-11-01,10000
SIP000014,INV01184,F010,3000,26,2025-04-01,Quarterly,31,Active,2027-10-01,1000
SIP000015,INV00107,F004,2000,21,2025-03-01,Monthly,11,Paused,2026-01-01,500
SIP000016,INV01229,F002,10000,4,2024-09-01,Quarterly,13,Cancelled,2025-09-01,500
SIP000017,INV01931,F003,500,1,2024-01-01,Monthly,36,Active,2026-12-01,5000
SIP000018,INV00162,F001,2000,22,2022-05-01,Monthly,42,Active,2025-10-01,1000
SIP000019,INV01206,F004,500,10,2024-06-01,Monthly,44,Active,2028-01-01,2000
SIP000020,INV01542,F005,10000,3,2024-06-01,Monthly,48,Active,2028-05-01,1000
SIP000021,INV00116,F009,1000,12,2023-11-01,Monthly,47,Paused,2027-09-01,500
SIP000022,INV01049,F002,2000,5,2022-09-01,Weekly,4,Cancelled,2022-12-01,1000
SIP000023,INV00677,F008,1000,7,2022-10-01,Monthly,26,Active,2024-11-01,10000
SIP000024,INV01896,F003,5000,18,2023-10-01,Monthly,27,Active,2025-12-01,1000
SIP000025,INV00422,F007,2000,16,2023-05-01,Monthly,9,Cancelled,2024-01-01,10000
SIP000026,INV01193,F009,3000,18,2022-02-01,Quarterly,9,Active,2022-10-01,5000
SIP000027,INV01420,F005,1000,13,2024-02-01,Quarterly,2,Active,2024-03-01,1000
SIP000028,INV00102,F005,5000,21,2024-07-01,Monthly,3,Active,2024-09-01,5000
SIP000029,INV01942,F005,10000,14,2022-01-01,Quarterly,18,Active,2023-06-01,10000
SIP000030,INV00870,F002,3000,19,2022-01-01,Monthly,41,Paused,2025-05-01,10000
SIP000031,INV00520,F006,5000,25,2024-06-01,Monthly,27,Active,2026-08-01,2000
SIP000032,INV01126,F002,5000,26,2023-06-01,Monthly,9,Paused,2024-02-01,1000
SIP000033,INV01607,F010,10000,25,2022-02-01,Quarterly,20,Active,2023-09-01,2000
SIP000034,INV00309,F006,10000,1,2023-12-01,Monthly,46,Active,2027-09-01,5000
SIP000035,INV00279,F002,500,3,2024-09-01,Quarterly,4,Active,2024-12-01,1000
